,house_id,image,objects,probabilities
6,454,6c7e24073ecf3ad772a5d706c7581dcf25f35517.jpg,car,0.8170542120933533
7,454,6c7e24073ecf3ad772a5d706c7581dcf25f35517.jpg,car,0.6614969968795776
8,454,6c7e24073ecf3ad772a5d706c7581dcf25f35517.jpg,car,0.6009488105773926
0,455,b09a9e26491988fba270fc159b422940510771f7.jpg,car,0.9973546862602234
0,457,61decf59ef891defe921675af52d2a25551dde51.jpg,car,0.8108207583427429
0,459,37eb1e0087b5da8a77c8b0a824bbce96de6c2131.jpg,sofa,0.9714503288269043
1,459,37eb1e0087b5da8a77c8b0a824bbce96de6c2131.jpg,chair,0.9702914953231812
2,459,37eb1e0087b5da8a77c8b0a824bbce96de6c2131.jpg,pottedplant,0.920950710773468
3,459,37eb1e0087b5da8a77c8b0a824bbce96de6c2131.jpg,chair,0.7684186100959778
0,461,9173d672ed0311043c4a91c06735b165df757599.jpg,sofa,0.757809579372406
1,461,9173d672ed0311043c4a91c06735b165df757599.jpg,chair,0.6238077878952026
2,461,9173d672ed0311043c4a91c06735b165df757599.jpg,pottedplant,0.6177158951759338
0,463,1bdd33e99f5aab717275daa6104b584c94cda618.jpg,car,0.9977855682373047
1,463,1bdd33e99f5aab717275daa6104b584c94cda618.jpg,car,0.9969568252563477
2,463,1bdd33e99f5aab717275daa6104b584c94cda618.jpg,car,0.9950655698776245
3,463,1bdd33e99f5aab717275daa6104b584c94cda618.jpg,bicycle,0.8123209476470947
0,464,5062d70bc68c4ffe16b868a16251b56264bbe89e.jpg,car,0.9864433407783508
1,464,5062d70bc68c4ffe16b868a16251b56264bbe89e.jpg,car,0.9800715446472168
2,464,5062d70bc68c4ffe16b868a16251b56264bbe89e.jpg,car,0.9704321026802063
3,464,5062d70bc68c4ffe16b868a16251b56264bbe89e.jpg,car,0.7328436374664307
4,464,5062d70bc68c4ffe16b868a16251b56264bbe89e.jpg,car,0.7155625820159912
